PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;6811;Mestrado 2.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Neurociências Cognitivas e Neuropsicologia;6895;Mestrado 2.º ciclo;17;6;11;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura 1.º ciclo;67;36;31;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura 1.º ciclo;79;21;58;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;242;53;189;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas Modernas;9779;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura 1.º ciclo;71;17;54;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura 1.º ciclo;83;11;72;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura 1.º ciclo;93;29;64;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;História do Mediterrâneo Islâmico e Medieval;M477;Mestrado 2.º ciclo;9;7;2;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;História e Patrimónios;M766;Mestrado 2.º ciclo;25;9;16;2018/19
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia Social, do Trabalho e das Organizações;M898;Mestrado 2.º ciclo;25;7;18;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão da Qualidade e Marketing Agro-Alimentar;6143;Mestrado 2.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Molecular e Microbiana;6271;Mestrado 2.º ciclo;25;12;13;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Matemática para Professores;6341;Mestrado 2.º ciclo;1;0;1;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Qualidade em Análises;6397;Mestrado 2.º ciclo;4;1;3;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão Sustentável dos Espaços Rurais;6398;Mestrado 2.º ciclo;5;4;1;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Geomática;6803;Mestrado 2.º ciclo;13;11;2;2018/19
